,Artist,Track Name,Track ID,Popularity,Acousticness,Danceability,Duration_ms,Energy,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,Time Signature,Valence
1183,Aminé,RATCHET SATURN GIRL,2q4F6OpQgx9umNB9uGFPYo,65,0.0378,0.538,146573,0.605,0.0,3,0.159,-5.413,1,0.119,39.497,4,0.657
1184,Three Days Grace,The Mountain,5Z6UMh8TMzxXslMc3bRXy1,67,0.000572,0.492,198360,0.932,4.75e-06,10,0.123,-4.689,1,0.052,92.497,4,0.33
1185,Lennon Stella,Fortress,3ri08lx68DvAbQuqLuZoFM,66,0.407,0.811,174707,0.619,0.0,0,0.0716,-4.744,0,0.133,103.043,4,0.431
1186,Charlotte Lawrence,Just The Same,3xPZKgZeIPb8vHa1UJH5Rz,67,0.385,0.741,211871,0.565,0.0,7,0.14,-4.637,1,0.0405,92.064,4,0.633
1187,Marshmello,Fly,2HO0uCyq8jOveEzvmo4JEu,70,0.000639,0.63,193778,0.9,0.852,4,0.203,-3.955,1,0.0387,134.988,4,0.155
1188,J. Cole,Window Pain - Outro,5Lgqu1th1KqlG97OF2gWGe,65,0.0607,0.72,286730,0.626,0.0,8,0.0728,-9.351,1,0.397,75.032,4,0.182
1189,Travis Denning,David Ashley Parker From Powder Springs,4fhKaRCxbWXA3BwAr3Zxjx,63,0.131,0.555,210173,0.895,0.0,5,0.0922,-4.787,1,0.0472,138.076,4,0.38
1190,Breaking Benjamin,Blood,7gQ7DfSSc3b8e4cHtFnDxu,67,3.83e-05,0.478,189120,0.971,2.77e-05,7,0.295,-2.729,1,0.0858,90.526,4,0.284
1191,Lil Wayne,Let It All Work Out,3BUWNzPWz2mDbptZmGEXpB,64,0.0216,0.552,316192,0.562,0.0,11,0.302,-6.862,1,0.164,135.014,4,0.439
1192,Luke Combs,Memories Are Made Of,0h31TZMlv0ZLc5yppKngwk,64,0.0159,0.694,216667,0.718,1.61e-06,2,0.287,-6.188,1,0.0322,121.078,4,0.364
1193,Ncredible Gang,"NoBody Else (feat. Nick Cannon, Ty Dolla $ign & Jacquees)",6PlrGEPaisOqBiDlwW6Ic0,66,0.188,0.801,190746,0.501,0.0,0,0.0211,-6.364,1,0.269,140.077,4,0.902
1194,Xavier Omär,Blind Man,0DQQRJ4sR3pxwom9L7D7QR,66,0.453,0.89,242196,0.523,1.58e-06,6,0.0831,-8.526,1,0.056,111.031,4,0.345
1195,Cardi B,Best Life (feat. Chance The Rapper),00B7TZ0Xawar6NZ00JFomN,65,0.287,0.62,284856,0.625,0.0,9,0.314,-7.438,1,0.553,167.911,4,0.665
1196,Calibre 50,¿Por Qué Cambiaste De Opinión?,1j8gLQNfFOI0vs8qcVTWwa,71,0.446,0.735,241907,0.49,3.52e-06,5,0.129,-4.937,1,0.0299,135.159,4,0.89
1197,Luke Combs,I Got Away with You,5FUKOLrwBWkUzJ0Du3dm5T,64,0.151,0.401,227560,0.466,0.0,1,0.132,-8.625,1,0.0297,73.204,4,0.254
1198,Shoreline Mafia,Boot It Up,5sF9WD3MnaoHQjJD2sL75D,63,0.0388,0.875,128174,0.44,0.0,11,0.127,-8.701,0,0.299,100.519,4,0.311
1199,Kacey Musgraves,Love Is A Wild Thing,5F5lmpwXkxAJtvZqEguTRo,64,0.266,0.623,256147,0.631,7.2e-06,10,0.0931,-7.52,1,0.0352,121.973,4,0.273
1200,Sure Sure,This Must Be The Place,6PuoZT4kgw5DrUEdnQ6e01,65,0.349,0.886,219261,0.371,0.00138,5,0.0985,-10.542,1,0.0465,115.026,4,0.928
1201,TWICE,YES or YES,3V23oYrFVc5VW1Ftq2wPCu,74,0.0514,0.702,237685,0.913,3.71e-06,11,0.166,-2.977,1,0.0374,137.982,4,0.735
1202,Ben Rector,Old Friends,4MZQ3lHA1TYO6yyedtmBYg,64,0.132,0.469,224744,0.403,4.71e-05,8,0.116,-10.047,1,0.0483,147.429,4,0.208
1203,Billie Eilish,COPYCAT - Sofi Tukker Remix,2njUxZ4151DWIrfIK3loFj,70,0.0585,0.682,198684,0.955,3.18e-05,4,0.226,-5.02,0,0.0591,124.999,4,0.451
1204,Tee Grizzley,2 Vaults (feat. Lil Yachty),5Zx9VpLotu9aFYqq61NAip,64,0.264,0.921,210000,0.586,0.0,8,0.119,-7.77,1,0.406,96.042,4,0.657
1205,Paulo Londra,Adan y Eva,6FyRXC8tJUh863JCkyWqtk,81,0.323,0.767,258639,0.709,0.0,1,0.0676,-4.47,1,0.336,171.993,4,0.72
1206,Anderson .Paak,Bubblin,6BvtitRX5lQC87YlA6rq0n,67,0.0731,0.568,209093,0.873,0.0,1,0.367,-5.22,1,0.265,106.783,5,0.547
1207,FLETCHER,I Believe You,4GUXTRTjQ4voLzwLw9qbPx,68,0.219,0.46,192993,0.498,0.00329,5,0.099,-6.312,1,0.0282,76.902,4,0.154
1208,Denzel Curry,BLACK BALLOONS | 13LACK 13ALLOONZ [FEAT. TWELVE'LEN & GOLDLINK | TWELVE'LEN + GOLDL1NK],5mexbTuWx9d8DPZk4sDGF4,67,0.194,0.551,210960,0.725,0.0,1,0.0956,-7.619,0,0.189,99.919,4,0.692
1209,Takeoff,Last Memory,1fvCggAYrW0VtCljtqv4h2,65,0.175,0.854,162133,0.708,0.0,1,0.241,-5.805,0,0.244,118.032,4,0.172
1210,Jonas Blue,Polaroid,49COPp81lGS9Hl9OwKlsKl,76,0.29,0.652,193377,0.898,0.0,7,0.073,-4.481,0,0.0361,114.043,4,0.472
1211,Cardi B,Get Up 10,7p2ewixAShLpjDZrnzZK7c,66,0.0977,0.806,231453,0.57,0.0,1,0.105,-6.927,1,0.246,93.015,4,0.454
1212,Deep Watch,Reasons For Being,5tY0sWgi6v0UEibwYjfWlL,68,0.98,0.141,176391,0.0282,0.906,7,0.104,-30.003,0,0.0454,145.22,3,0.0658
1213,Camila Cabello,Something's Gotta Give,7IL3UOlcJ6nmcCMwpnlfcA,71,0.367,0.545,236360,0.458,0.0,5,0.118,-4.6,0,0.0279,79.943,4,0.164
1214,Cher Lloyd,None Of My Business,2SPEg45ZaUFJCg9GwNmRvw,70,0.428,0.793,184005,0.488,0.0,2,0.0823,-5.807,0,0.0462,133.957,4,0.5
1215,Eminem,Normal,0evt4UZbdhnHtcAnxkm6A1,69,0.261,0.907,222477,0.64,0.0,6,0.0785,-6.542,1,0.354,120.995,4,0.803
1216,Wallows,Drunk on Halloween,0z9dPcBhJvqO06QMaKelUE,65,0.231,0.631,237027,0.634,1.3e-05,6,0.0924,-4.456,1,0.0247,100.967,4,0.774
1217,Panic! At The Disco,(Fuck A) Silver Lining,3BDxv4ORzOpXAsa4lWVl4i,67,0.0272,0.577,168613,0.939,0.0,1,0.24,-1.352,0,0.108,105.092,4,0.714
1218,Roddy Ricch,Every Season,7uDmtMSHiwHt4SXqxbYqIr,65,0.0672,0.961,214830,0.708,0.0,5,0.117,-5.524,0,0.287,130.0,4,0.582
1219,Kacey Musgraves,Wonder Woman,38UCGIpo273uGgdBXbi992,64,0.11,0.669,240427,0.653,1.58e-05,11,0.0826,-5.675,1,0.0269,104.995,4,0.528
1220,Lord Huron,When the Night is Over,4FE9SgxcOoCNuGnaaU8TXz,65,0.0994,0.681,311227,0.419,0.15,6,0.123,-6.156,0,0.0258,95.981,3,0.59
1221,Layton Greene,Roll In Peace,33YFwLJbAdgePluIuEVa9p,63,0.72,0.523,170343,0.507,0.0,7,0.0774,-6.448,0,0.225,140.368,4,0.7
1222,Nipsey Hussle,Blue Laces 2,7yB6GF5kgPEoeGE4EAWiJU,64,0.0276,0.569,250920,0.836,0.0,4,0.479,-3.831,0,0.226,75.701,4,0.0927
1223,Brent Faiyaz,Make Luv,2CInzVilMduj9L8dDXwyUA,65,0.429,0.653,193309,0.414,5.13e-05,8,0.114,-9.079,0,0.243,143.828,4,0.261
1224,Tory Lanez,Broke Leg (with Quavo & Tyga),5CKtlUULFD5aPVX4PL02H6,67,0.226,0.851,165605,0.85,0.0,1,0.145,-3.4,1,0.0904,99.975,4,0.642
1225,LANY,Thick And Thin,3D110t9ctcoOoylXsc3iR8,72,0.059,0.697,212002,0.551,0.0,5,0.0762,-6.179,0,0.0282,99.996,4,0.339
1226,Drake,8 Out Of 10,0zqy3ss4CwD6u4QPksS0nI,66,0.161,0.529,195720,0.69,0.0,2,0.498,-7.87,1,0.74,170.54,4,0.311
1227,Tomasz Kraal,Valse Glacée,6nFq454HmDgKLSit00vniw,70,0.995,0.337,180545,0.00907,0.924,10,0.13,-29.19,0,0.0439,62.833,4,0.0852
1228,Chris Jeday,Bipolar,4WzsycqZkpkS48H9AAAGux,70,0.324,0.8,219880,0.693,0.0,1,0.123,-5.72,1,0.0499,152.081,4,0.424
1229,tobi lou,Just Keep Goin',65lskbT8WoXr7GT3YVjRqW,65,0.556,0.782,264000,0.325,0.0,2,0.16,-13.414,1,0.251,139.923,4,0.604
1230,Panic! At The Disco,Dancing's Not a Crime,6PFoEnjp0PAe5siGswjH9i,67,0.0375,0.526,219467,0.891,0.0,6,0.375,-1.549,1,0.0482,94.095,4,0.804
1231,YoungBoy Never Broke Again,Diamond Teeth Samurai,1k7KigfkZh2Xb6khqV1a0K,63,0.00451,0.799,162488,0.659,0.0,10,0.13,-5.593,0,0.272,177.957,4,0.256
1232,Lil Peep,Cry Alone,4kQazx3VMaDKUG1IIaC94i,68,0.0366,0.637,167107,0.856,0.0308,1,0.0809,-5.649,1,0.0337,160.068,4,0.285
1233,Dan + Shay,Tequila - R3HAB Remix,2aAyDqzwEeVIigSMFM1tNS,65,0.0119,0.578,157425,0.862,1.79e-05,8,0.0744,-3.059,0,0.0405,100.049,4,0.547
1234,for KING & COUNTRY,joy.,0vBjd0I8iefycEZ2ex1Zpi,64,0.0102,0.68,233947,0.536,0.00105,5,0.113,-6.669,0,0.0582,119.958,4,0.417
1235,Rvssian,Ponle,28O1p0bQXH2F6Qn8jBZZR4,75,0.187,0.857,164765,0.772,0.00181,10,0.0851,-4.736,0,0.194,94.028,4,0.589
1236,Lil Yachty,MICKEY,3GxGAhRowXixzk521JQpZu,65,0.0295,0.971,160518,0.466,0.0,1,0.097,-5.655,1,0.23,119.994,4,0.131
1237,Kali Uchis,Dead To Me,6LOZws7T3jqZz78unPgFF9,65,0.432,0.675,199506,0.761,0.0,4,0.102,-4.469,0,0.0466,119.001,4,0.428
1238,Robinson,Nothing to Regret,3C2xQqHVkhA1Ht17SzPRke,69,0.243,0.697,208486,0.521,0.0,5,0.189,-6.519,1,0.031,91.998,4,0.331
1239,YoungBoy Never Broke Again,Astronaut Kid,3hg8SvlMLkm2lT3HXvU6Lf,63,0.00764,0.738,185992,0.788,0.0,4,0.355,-5.318,0,0.0435,155.078,4,0.307
1240,Young Dolph,Major (feat. Key Glock),3Yt2ph8Ko0JBANpdawzSF2,63,0.0109,0.907,195547,0.65,0.000424,6,0.107,-5.661,0,0.312,147.026,4,0.626
1241,YoungBoy Never Broke Again,Genie,7E6knQgEAcU0nIjQJuwrIv,63,0.286,0.598,194792,0.605,0.0,7,0.0875,-4.92,0,0.452,159.517,4,0.513
1242,Bad Bunny,Tenemos Que Hablar,5VQpJ2AY2iMzrRZKgcvNjh,69,0.146,0.855,224512,0.512,0.000854,11,0.107,-8.165,1,0.0534,146.075,4,0.144
1243,Beau Young Prince,Let Go,5F2AuFzEiuAQD0JVNjVJQz,67,0.463,0.764,177653,0.725,5.91e-06,7,0.109,-8.812,1,0.0576,100.063,4,0.0794
1244,Masala Roo,Pads of Redemption,5I3JZ3zvxKQMdp9rEcGkiR,69,0.902,0.274,168537,0.0417,0.903,0,0.112,-23.499,0,0.034,43.513,4,0.0613
1245,Drake,Final Fantasy,44Du2IM1bGY7dicmLfXbUs,66,0.422,0.5,219960,0.448,8.03e-06,0,0.115,-10.977,1,0.442,144.204,1,0.104
1246,Vance Joy,Lay It On Me,7oekneJCJO74ycdLzdk16v,65,0.101,0.733,215493,0.663,6.98e-06,5,0.0694,-5.766,1,0.0322,127.974,4,0.53
1247,Lil Baby,Business Is Business (Lil Baby & Gunna),7roKDmJDOzkpfGpUQJ5EnL,64,0.288,0.821,162268,0.636,0.0,7,0.104,-6.038,0,0.0899,142.008,4,0.4
1248,Sarcastic Sounds,I Don't Sleep,0f0gfm6wHjhqrBMHBn9Ajr,67,0.105,0.774,105143,0.352,0.741,6,0.348,-13.13,0,0.214,80.51,4,0.258
1249,BTS,The Truth Untold,48XfojJC87VKLlUotYV0Gm,71,0.372,0.57,242293,0.422,0.0,1,0.127,-7.561,0,0.0422,113.007,4,0.169
1250,N.E.R.D,Lemon - Drake Remix,739vCwA3EpBSkk3uDsI2wB,67,0.000738,0.777,226107,0.657,3.34e-06,1,0.0932,-6.434,1,0.237,189.992,4,0.245
1251,Joji,COME THRU,48x8fBWfyeSMzLl5gbsjr9,67,0.163,0.66,153169,0.596,0.86,0,0.109,-8.207,1,0.0358,77.026,4,0.0757
1252,Future,Astronauts,2vs5ubqg8QUbfyWZpMfvWe,64,0.0402,0.732,169920,0.586,2.66e-06,1,0.121,-7.868,1,0.232,76.48,4,0.73
1253,Nicki Minaj,Good Form,19Fcrc0nJiwMKom00gS9SW,66,0.113,0.88,199400,0.775,0.00264,7,0.0943,-5.133,1,0.0952,96.507,4,0.284
1254,Kanye West,I Thought About Killing You,0yhxBvedRdGxsPZHJNI4VA,66,0.867,0.752,274187,0.396,0.0,2,0.0486,-7.932,1,0.411,116.016,4,0.417
1255,88rising,La Cienega,3iGz75NJkqHubYUMRELLyP,67,0.506,0.61,192607,0.318,0.000617,8,0.102,-9.95,1,0.148,109.491,3,0.214
1256,Leon Bridges,Forgive You,1sfTdlWfcFdI7NfmcfZPii,67,0.324,0.73,221560,0.68,3.79e-06,4,0.121,-4.886,0,0.0344,109.576,4,0.452
1257,George Ezra,Hold My Girl,42bbDWZ8WmXTH7PkYAlGLu,77,0.597,0.614,211764,0.527,0.0,10,0.11,-6.374,1,0.0302,121.941,4,0.354
1258,Meek Mill,On Me (feat. Cardi B),3DnZfpfe8wLeJgzc00gKeW,65,0.0482,0.864,225008,0.666,0.0,1,0.134,-5.525,1,0.234,132.12,4,0.538
1259,Carly Pearce,Closer To You,7xELq8WliIctkuvWXONX6d,64,0.125,0.662,187321,0.685,0.0,4,0.0961,-4.561,0,0.0302,111.964,4,0.447
1260,Los Plebes del Rancho de Ariel Camacho,Según Tus Labios,1b2hnkOJVVEereFRweGX51,71,0.667,0.673,195125,0.609,0.0,10,0.0907,-4.335,1,0.0279,147.08,3,0.697
1261,Noisestorm,Crab Rave,4qDHt2ClApBBzDAvhNGWFd,71,0.206,0.768,161280,0.933,0.915,2,0.0833,-2.95,0,0.0385,124.996,4,0.245
1262,Kasper Schill,Ava,527OzwwTayP2ZYijImtf1B,69,0.995,0.388,168183,0.0352,0.936,5,0.155,-27.79,1,0.0614,76.21,3,0.442
1263,Trevor Daniel,Mess,4Zc4kyc7VSdZNF9wFeBIcz,66,0.124,0.655,168484,0.56,3.75e-06,9,0.106,-7.97,1,0.0389,154.957,4,0.0917
1264,Jakob Ogawa,Velvet Light,41o2ydrj7Xm9Yt5odIBqq4,65,0.75,0.67,141587,0.419,0.135,6,0.0976,-10.523,0,0.0751,77.919,4,0.513
1265,YoungBoy Never Broke Again,Drawing Symbols,4LteP7qMBiV8Tol9Oug4Kc,62,0.159,0.615,204356,0.723,0.0,5,0.191,-3.764,0,0.0883,112.722,5,0.201
1266,Mumford & Sons,Woman,7pEUVoZDoQg4NQwmMcyjhQ,63,0.662,0.592,274553,0.555,0.452,1,0.111,-10.499,0,0.0381,156.957,4,0.142
1267,Pink Sweat$,Would You,3kOjVFw4sgfAl3BhPBQubG,62,0.697,0.71,153125,0.19,0.0,4,0.0788,-11.137,1,0.0401,105.14,4,0.495
1268,BTS,Love Maze,645YBsxhFPSOKxGep3uHLv,71,0.0487,0.636,221529,0.876,0.0,9,0.0728,-4.652,1,0.0617,149.932,4,0.759
1269,Aminé,BLACKJACK,6U9OkV9oa8kN8LyBGf3wvJ,66,0.184,0.962,117307,0.563,0.0,2,0.059,-6.372,1,0.246,131.023,4,0.899
1270,Logic,Indica Badu,0jqBo5RYn008f4ZY8kPewW,65,0.0441,0.715,260320,0.723,0.000834,7,0.102,-3.263,1,0.191,77.02,4,0.97
1271,MGMT,When You Die,3td69vL9Py7Ai9wfXYnvji,68,0.0946,0.645,263880,0.938,0.0226,11,0.159,-4.557,0,0.0391,140.886,4,0.495
1272,UMI,Butterfly,4qkVALwOxCIEZ7I5gkZ3m4,66,0.255,0.785,160500,0.27,0.00132,5,0.0953,-14.457,1,0.0892,131.894,4,0.12
1273,Shoffy,Cool Again,0xM6mdl0XX2qOqUZmVUp97,66,0.443,0.774,191935,0.45,3.28e-05,11,0.127,-6.86,1,0.0896,90.055,4,0.648
1274,PENTAGON,Shine,7nkp1uuSbKkoxMvEs8cSw0,71,0.411,0.74,198796,0.804,0.0,3,0.0578,-2.187,1,0.0546,150.013,4,0.791
1275,Anne-Marie,Perfect to Me,0DC7Zs2qvAbNK1owWQ4mlL,77,0.0889,0.604,197853,0.546,0.0,8,0.0734,-5.691,1,0.151,179.847,4,0.402
1276,BTS,FAKE LOVE,5Sn2fm8aisVlR7S6u1KW57,72,0.00267,0.557,242334,0.719,0.0,2,0.306,-4.515,0,0.0372,77.501,4,0.344
1277,keshi,2 soon,5SlU0Yhi51jobhEiGE4xDv,68,0.146,0.517,206512,0.663,0.0,6,0.322,-6.688,0,0.0375,174.032,4,0.146
1278,Goth Babe,Sometimes,7oJmIBxEAYjfkS7lhZ7M1S,64,0.105,0.445,262737,0.563,0.000271,7,0.179,-8.904,1,0.0315,94.978,4,0.204
1279,Rita Ora,Let You Love Me,6xtcFXSo8H9BZN637BMVKS,75,0.288,0.531,190000,0.854,0.0,10,0.0773,-3.149,1,0.198,94.419,4,0.456
1280,Meek Mill,Millidelphia (feat. Swizz Beatz),1dQ84P0W0lOckT02lPEhhP,65,0.0854,0.851,215839,0.702,0.0,1,0.374,-4.172,1,0.268,126.94,4,0.179
1281,Gryffin,Remember (with ZOHARA),2EdT0divbyKeaurz7KgPm1,69,0.0975,0.619,221693,0.901,0.0455,11,0.178,-4.173,0,0.0563,123.002,4,0.503
1282,YoungBoy Never Broke Again,Sky Cry,40XsGSUEEHS0TPSElyCai8,62,0.345,0.836,122008,0.629,0.0,1,0.0844,-5.362,0,0.366,144.029,4,0.292
1283,Jhené Aiko,Never Call Me (feat. YG) - Remix,2ZbvTTHaZIYu9XhnRO44mr,65,0.694,0.595,232240,0.419,0.0,2,0.12,-8.122,0,0.276,120.14,4,0.33
1284,Joji,XNXX,0qpSvzE0Rws3gVZNZCf04v,66,0.257,0.388,127318,0.52,0.185,2,0.113,-8.354,1,0.0593,84.851,4,0.196
1285,Russ,The Flute Song,6pGuOWYOFDcSgmVvFWRWSv,69,0.212,0.789,147600,0.524,0.0,1,0.221,-7.942,0,0.273,138.064,4,0.343
1286,Meek Mill,Dangerous (feat. Jeremih and PnB Rock),1lL7Sj9AitQT7YWXs6obEq,65,0.0581,0.763,234589,0.441,0.0,0,0.0458,-8.211,1,0.256,86.093,4,0.538
1287,KIDS SEE GHOSTS,Kids See Ghosts,2I3dW2dCBZAJGj5X21E53k,66,0.113,0.841,245098,0.682,9.65e-05,2,0.131,-7.007,1,0.0458,94.985,4,0.338
1288,BLACKPINK,Forever Young,56bHclo7YNvpujMveLElQn,70,0.0426,0.6,237077,0.96,0.0,4,0.0882,-1.807,1,0.095,109.863,4,0.503
1289,Fleet Foxes,Mykonos,4iaGeV4WFvP2ynbqCIyTpS,65,0.395,0.3,275307,0.452,0.000818,11,0.137,-9.298,1,0.0305,82.988,4,0.342
1290,Louis The Child,Save Me From Myself (with NoMBe & Big Gigantic),7f4bRMqRKRfUNPW2gbTHSt,64,0.0198,0.673,211686,0.676,1.26e-05,4,0.428,-4.888,0,0.216,82.979,4,0.391
1291,6ix9ine,TIC TOC,2UbGTULrgk641ZzV4vWfXK,68,0.0115,0.82,135739,0.691,0.0,6,0.344,-6.646,0,0.0723,142.027,4,0.683
1292,Mac Miller,Dunno - Recorded at Spotify Studios NYC,6eIEJLVaPTU3NuctqdWCzJ,65,0.945,0.523,224347,0.153,0.000944,1,0.114,-12.785,1,0.0689,84.659,4,0.184
1293,Eminem,Stepping Stone,60Z57Wdrn0pEVpHI7d7GAX,69,0.0305,0.616,309638,0.684,0.0,7,0.376,-6.032,1,0.311,179.503,4,0.312
1294,Charli XCX,1999,05mAIVLkIWc2d1UBYZBCp8,73,0.0227,0.739,189000,0.742,1.39e-06,7,0.229,-4.586,1,0.0329,124.016,4,0.659
1295,Ronny J,Costa Rica (feat. Ski Mask the Slump God),6JxdRch1BQkPVUWjcuudvI,65,0.0904,0.71,120019,0.648,0.0,8,0.266,-7.31,1,0.231,160.061,4,0.41
1296,Kamil,Bakugo!,2IvdQFwO9U9EAMJGwEvOcK,64,7.74e-05,0.899,151667,0.535,0.0,1,0.12,-6.423,1,0.178,145.02,4,0.183
1297,Cozz,Zendaya (feat. J. Cole),7jmTA4qUoE3powcTpw3dvF,64,0.19,0.702,258166,0.891,0.0,8,0.154,-3.28,0,0.361,78.876,4,0.517
1298,tobi lou,Darlin',0eGrwX4kf5sV1faR5tZDp3,64,0.571,0.866,205091,0.388,0.0,9,0.1,-11.009,1,0.32,109.976,4,0.556
1299,Breaking Benjamin,Red Cold River,6ZfPmIbwzz6fopTNwAJTPs,65,0.000248,0.376,200907,0.967,2.64e-06,3,0.0575,-3.277,0,0.166,91.582,4,0.226
1300,Lauren Daigle,Still Rolling Stones,2tXZxXmknsaVTNTaCvnlx8,65,0.175,0.624,248387,0.57,0.0,4,0.237,-6.107,0,0.0316,98.986,4,0.213
1301,Natanael Cano,F1,6bf11IBgO6k84wRuTSbci2,68,0.415,0.62,154576,0.51,0.0,9,0.301,-5.119,0,0.0451,102.643,3,0.963
1302,21 Savage,out for the night - part 2,4B8vU5oDXVxO5OkLAI4aLx,65,0.0133,0.593,235232,0.632,0.0,6,0.64,-5.381,0,0.541,173.369,4,0.0789
1303,Gunna,Car Sick (feat. NAV & Metro Boomin),4xisLMFhYADhKnkOCCV4Am,64,0.0989,0.859,219817,0.574,0.0,7,0.0918,-6.16,1,0.399,149.995,4,0.405
1304,Metro Boomin,No Complaints (feat. Offset & Drake) (Bonus),156LzfvMNKuXuiot4uzhGD,67,0.0709,0.914,265480,0.572,0.00237,2,0.0599,-8.82,1,0.166,123.963,4,0.203
1305,Lewis Capaldi,Rush (feat. Jessie Reyez),7tTRP2vA00uScZ4SjB3ZQZ,72,0.541,0.618,198351,0.624,0.0,1,0.628,-7.318,1,0.0835,119.644,4,0.379
1306,YBN Nahmir,Rubbin off the Paint,1QRJb5VY3sIkCKcTuIKCrk,64,0.00582,0.596,157505,0.699,0.0,1,0.174,-8.709,1,0.348,108.031,5,0.435
1307,Cauty,Ta To Gucci (Remix),7kuRvjpeUcn6qNV9IBXC2C,75,0.383,0.73,304859,0.648,0.000112,1,0.103,-6.405,0,0.378,187.991,4,0.675
1308,Yungeen Ace,Pain,2QnjMRGBiPGXZZ2ohgH1vz,63,0.128,0.626,187499,0.42,2.85e-06,2,0.106,-8.421,1,0.096,87.939,4,0.11
1309,Saba,LIFE,3au0pvHqcTtszysswan6AO,65,0.0192,0.902,162750,0.497,0.0,7,0.109,-9.236,1,0.266,120.016,4,0.463
1310,Wisin & Yandel,Reggaetón en lo Oscuro,7LLXLd0pisbEAdIVK502VM,75,0.0613,0.747,208947,0.898,1.66e-06,1,0.0886,-3.683,1,0.0709,91.97,4,0.689
1311,James Arthur,At My Weakest,6rcTyXe8W8kjQLyALBRj1v,70,0.536,0.636,217293,0.433,0.0,10,0.123,-8.346,1,0.0614,75.02,3,0.234
1312,Drake,Is There More,1Tnw0ItH1Macok8gblnPPd,65,0.727,0.698,226907,0.547,0.0,1,0.159,-7.607,1,0.315,83.801,4,0.548
1313,iLOVEFRiDAY,Mia Khalifa,3B9vJvi2Z6ws4wjNTQMYAc,68,0.255,0.812,177133,0.525,0.0,1,0.325,-8.798,1,0.124,145.016,4,0.564
1314,Mumford & Sons,Beloved,5V0nHhlYIjUMfcSoJ5ziRD,63,0.00539,0.445,265096,0.773,0.153,2,0.131,-7.227,1,0.0441,191.966,4,0.313
1315,Chris Lake,Turn off the Lights,7dsImih2L25fa6qjNphBI7,72,0.0467,0.824,210547,0.745,3.29e-05,11,0.198,-5.49,0,0.0755,125.013,4,0.888
1316,Joji,I Don't Wanna Waste My Time,72Qo3U5apeuv91j9BEqJBM,66,0.765,0.287,164430,0.234,0.0636,4,0.123,-17.86,1,0.0672,74.454,4,0.121
1317,Mipso,People Change,1iepnn71MidOJZ7Y3vfgE4,67,0.884,0.374,212853,0.276,0.0123,7,0.122,-14.945,1,0.0353,80.169,4,0.412
1318,Sheck Wes,Live Sheck Wes,1dhO5lyN2Otv4qR0xWQXH7,66,0.000732,0.781,147347,0.617,0.0467,0,0.158,-7.82,1,0.252,139.973,4,0.506
1319,Lil Wayne,What About Me (feat. Sosamann),3JX0dOCIAiaR8MP3ryXWuM,64,0.0263,0.784,216961,0.44,1.9e-06,10,0.122,-6.566,1,0.0401,118.089,4,0.22
1320,Peach Pit,Alrighty Aphrodite,6OiRh4kttAs1YWglvTcYkB,65,0.00605,0.534,207813,0.724,0.0929,6,0.108,-4.675,0,0.0495,81.846,4,0.503
1321,Roy Blair,Dennis,6Dvxpqv61hyRZJs4qDfiP3,64,0.0291,0.827,194364,0.676,7.28e-05,1,0.074,-6.414,1,0.0481,100.037,4,0.553
1322,Jake Scott,Tuesdays,7r5cRFkwHuPy7HlzvuovLD,64,0.63,0.473,216989,0.217,0.0,4,0.142,-10.739,1,0.0367,164.02,4,0.628
1323,BTS,DNA,6Z7m5DLNPOaPg9T6nXK0rQ,73,0.0223,0.599,223123,0.774,0.0,1,0.0669,-4.014,0,0.0541,129.819,4,0.696
1324,Los Hijos De Garcia,18 Libras,36m0b1aad6A4CXq41VYxDe,65,0.0918,0.805,185045,0.812,4.34e-05,2,0.104,-6.353,1,0.0839,114.982,3,0.759
1325,BTS,Singularity,3gpU0uqDonMBKEcJu4Rzsf,70,0.554,0.775,196998,0.271,0.00285,1,0.112,-9.131,0,0.092,104.001,3,0.204
1326,A.CHAL,000000,5QeUZ1Z4xSCegBXutW3IIt,68,0.494,0.734,165214,0.472,0.00293,1,0.102,-8.192,0,0.306,190.011,4,0.387
1327,Hayley Kiyoko,What I Need (feat. Kehlani),5nFyaoBWwwMJ9fv33tZ2MB,67,0.0537,0.633,219520,0.793,0.0,10,0.16,-4.126,1,0.055,103.97,4,0.414
1328,6ix9ine,KEKE,14PlDNjNh3pXyHXzkhX8n5,68,0.0321,0.599,151915,0.857,0.0,7,0.4,-5.7,1,0.299,187.985,4,0.469
1329,Drake,Talk Up (feat. Jay-Z),4ksuI04WMvUnJbHQjgs3L5,66,0.00359,0.758,223240,0.49,6.61e-06,11,0.292,-9.877,1,0.139,140.116,4,0.335
1330,Nicki Minaj,Barbie Tingz,2qsQ8eVDPmobZpvDxQCVQu,67,0.0849,0.917,191700,0.689,0.0,6,0.603,-6.225,1,0.264,102.414,4,0.443
1331,J. Cole,BRACKETS,5sWbwccBcyHsg5LEKWGZo9,64,0.19,0.675,315771,0.567,1.77e-06,10,0.175,-9.147,0,0.263,84.039,4,0.658
1332,Morgan Evans,Dance with Me (feat. Kelsea Ballerini),07sa7qkxpemze5BBE7jufs,64,0.481,0.611,199501,0.519,4.82e-06,1,0.107,-9.854,1,0.035,147.981,4,0.462
