Artist,Track Name,Track ID,Popularity,Acousticness,Danceability,Duration_ms,Energy,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,Time Signature,Valence
Shoffy,Almost Dead,7dsmTgepTtVPYGcQ2WaVxC,46,0.142,0.812,168000,0.601,0.0101,4,0.104,-7.887,0,0.0628,99.917,4,0.773
3LAU,Tokyo (feat. XIRA),1QCVN7PEJ0dMiIDOG6ZJUf,51,0.00016,0.53,223141,0.996,0.0534,5,0.356,-4.415,1,0.0661,121.014,3,0.0435
Lous and The Yakuza,Tout est gore,5uAjoYPMogrBcQfBKB6uAx,44,0.285,0.748,183053,0.525,0.0,11,0.241,-9.512,0,0.0559,85.032,4,0.209
Beach Bunny,Ms. California,5V8TXx6knxeSSo6lZWH0ps,17,0.000205,0.579,172037,0.863,0.117,4,0.0844,-3.938,1,0.0398,121.977,4,0.628
Jensen McRae,White Boy,25HS9d2n8aSKHZ4mzNlDkw,39,0.33,0.308,241474,0.545,2.65e-05,5,0.13,-7.081,0,0.033,159.946,3,0.631
Darell,No Vuelvas Más,0mcBgVRVsvESTkEyVHt7Ue,57,0.434,0.866,239093,0.602,3.06e-05,11,0.0567,-5.236,1,0.0844,95.016,4,0.836
Yella Beezy,Ay Ya Ya Ya,7cUHTBEyuHZcuPqMb8yQqj,52,0.00186,0.808,173057,0.734,0.0,9,0.181,-5.952,0,0.209,98.007,4,0.479
2KBABY,Betta,5bVaWFbTBV7tSs6L0ZnILR,45,0.164,0.87,213529,0.497,0.0,4,0.0628,-8.07,0,0.389,136.004,4,0.276
Laura Dreyfuss,Better Drugs (feat. Beau Young Prince),4KcGYcX6XdgXP1idK3gyML,41,0.186,0.748,174086,0.562,0.0,9,0.0327,-6.255,1,0.231,78.015,4,0.777
Ben Kessler,Even When You're Home,0T77wQFiDWA84x8k8Ky4a4,40,0.108,0.562,211000,0.468,3.31e-06,1,0.11,-7.706,0,0.0641,71.586,4,0.295
Mk.gee,Untitled,6I0m89XMkPX46MMaNmkWNK,46,0.217,0.713,219457,0.505,0.113,8,0.1,-9.504,1,0.0365,101.983,4,0.583
Alec Wigdahl,Misbehaving,0rJadAFIv5ip8STiYG8UFZ,41,0.175,0.741,203333,0.553,1.88e-06,0,0.0955,-7.722,0,0.148,143.907,4,0.453
Lucus,Boom,7KMWYoVzdxVqbWzDqfjw6P,45,0.345,0.677,153892,0.389,4.34e-05,7,0.0893,-9.342,1,0.117,100.009,4,0.507
